,date,count,platform
0,2021-03-01,216,0
1,2021-03-02,28,0
2,2021-03-03,223,0
3,2021-03-04,42,0
4,2021-03-05,226,0
5,2021-03-06,26,0
6,2021-03-07,173,0
7,2021-03-08,61,0
8,2021-03-09,201,0
9,2021-03-10,77,0
10,2021-03-11,196,0
11,2021-03-12,96,0
12,2021-03-13,194,0
13,2021-03-14,11,0
14,2021-03-15,222,0
15,2021-03-16,67,0
16,2021-03-17,225,0
17,2021-03-18,63,0
18,2021-03-19,226,0
19,2021-03-20,49,0
20,2021-03-21,179,0
21,2021-03-22,88,0
22,2021-03-23,205,0
23,2021-03-24,108,0
24,2021-03-25,207,0
25,2021-03-26,109,0
26,2021-03-27,192,0
27,2021-03-28,15,0
28,2021-03-29,220,0
29,2021-03-30,76,0
30,2021-03-31,243,0
31,2021-04-01,190,0
32,2021-04-02,164,0
33,2021-04-03,189,0
34,2021-04-04,36,0
35,2021-04-05,204,0
36,2021-04-06,73,0
37,2021-04-07,202,0
38,2021-04-08,103,0
39,2021-04-09,208,0
40,2021-04-10,86,0
41,2021-04-11,161,0
42,2021-04-12,159,0
43,2021-04-13,169,0
44,2021-04-14,160,0
45,2021-04-15,188,0
46,2021-04-16,172,0
47,2021-04-17,187,0
48,2021-04-18,42,0
49,2021-04-19,205,0
50,2021-04-20,75,0
51,2021-04-21,200,0
52,2021-04-22,105,0
53,2021-04-23,211,0
54,2021-04-24,92,0
55,2021-04-25,163,0
56,2021-04-26,155,0
57,2021-04-27,171,0
58,2021-04-28,161,0
59,2021-04-29,191,0
60,2021-04-30,171,0
61,2021-05-01,96,0
62,2021-05-02,75,0
63,2021-05-03,119,0
64,2021-05-04,71,0
65,2021-05-05,166,0
66,2021-05-06,78,0
67,2021-05-07,162,0
68,2021-05-08,78,0
69,2021-05-09,115,0
70,2021-05-10,93,0
71,2021-05-11,103,0
72,2021-05-12,144,0
73,2021-05-13,105,0
74,2021-05-14,145,0
75,2021-05-15,110,0
76,2021-05-16,88,0
77,2021-05-17,136,0
78,2021-05-18,80,0
79,2021-05-19,165,0
80,2021-05-20,85,0
81,2021-05-21,164,0
82,2021-05-22,83,0
83,2021-05-23,116,0
84,2021-05-24,116,0
85,2021-05-25,109,0
86,2021-05-26,148,0
87,2021-05-27,106,0
88,2021-05-28,143,0
89,2021-05-29,112,0
90,2021-05-30,89,0
91,2021-05-31,94,0
92,2021-06-01,116,0
93,2021-06-02,142,0
94,2021-06-03,122,0
95,2021-06-04,113,0
96,2021-06-05,145,0
97,2021-06-06,32,0
98,2021-06-07,157,0
99,2021-06-08,86,0
100,2021-06-09,155,0
101,2021-06-10,107,0
102,2021-06-11,141,0
103,2021-06-12,99,0
104,2021-06-13,72,0
105,2021-06-14,125,0
106,2021-06-15,126,0
107,2021-06-16,138,0
108,2021-06-17,126,0
109,2021-06-18,123,0
110,2021-06-19,129,0
111,2021-06-20,29,0
112,2021-06-21,151,0
113,2021-06-22,93,0
114,2021-06-23,147,0
115,2021-06-24,98,0
116,2021-06-25,144,0
117,2021-06-26,102,0
118,2021-06-27,70,0
